Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
Nursing Services Manager,Health Services Managers (1342),1342,134,13,Health Service Managers,Berlin,Pflege for Life GmbH,Outpatient & Ambulatory Care,2026-06-17,Part-time,,"Manages nursing staff and operations for an outpatient care service, including personnel management, care planning (SIS), scheduling, client visits, and care counselling. Responsible for route planning and shift scheduling.",Completed 3-year nursing qualification; further training or degree in nursing management/care services leadership; driving licence class B; German language level B2 or above.,"Open and appreciative team, company pension scheme, flexible and fair working hours, fair working conditions, holiday pay.",On-site,https://www.stepstone.de/stellenangebote--Pflegedienstleiter-in-m-w-d-Berlin-Pflege-for-Life-GmbH--14162976-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,nd Maßnahmepläne schreiben Tourenplan und Dienstplan schreiben Profil 3-jährige abgeschlossene Ausbildung als Pflegefachkraft Weiterbildung als Pflegedienstleitung oder ein Studium als | • Tourenplan und Dienstplan schreiben • 3-jährige abgeschlossene Ausbildung als Pflegefachkraft,,Other Healthcare Providers,https://www.stepstone.de/cmp/de/pflege-for-life-gmbh-430581/jobs,job-1,0
Qualified Nursing Professional / Elderly Care Nurse,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Pflege for Life GmbH,Outpatient & Ambulatory Care,2026-06-17,Part-time,,"Performs nursing care activities for home-care clients under SGB V, creates care plans (SIS) and documentation, conducts care counselling per §37.3, supervises auxiliary staff, and manages new client admissions. Occasional on-call duty required.","Completed 3-year qualification in nursing (Pflegefachfrau/mann, elderly care, or general nursing/registered nurse); driving licence class B.","Open and appreciative team, fair working conditions and hours, positive working atmosphere, fair and performance-related pay, company pension scheme contribution, permanent employment contract.",On-site,https://www.stepstone.de/stellenangebote--Examinierte-Pflegefachkraft-Altenpflegerin-m-w-d-Berlin-Pflege-for-Life-GmbH--14126935-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pflege-for-life-gmbh-430581/jobs,job-2,1
Specialist Pedagogical Worker - Supported Living,Personal Care Workers in Health Services NEC (5329),5329,532,53,Personal Care Workers in Health Services Not Elsewhere Classified,Berlin,Zukunftssicherung Berlin e. V. für Menschen mit geistiger Behinderung,Long-term Care & Social Services,2026-06-17,Part-time,,"Supports adults with intellectual disabilities in a residential care setting, assisting with daily living, leisure activities and basic personal care, while creating individual support plans and developmental reports. Cooperates with relatives, legal guardians, and external stakeholders.","Completed qualification as Heilerziehungspfleger, Erzieher, elderly care nurse, registered nurse, or equivalent; team-oriented; German language level B2 or above.","Salary according to AVR-DWBO, 13th month salary bonus, 31 days annual leave, company pension and capital-forming benefits, company health insurance covering co-payments for aids, medications and massages.",On-site,https://www.stepstone.de/stellenangebote--Paedagogische-Fachkraft-m-w-d-besondere-Wohnform-Ahornallee-Berlin-Zukunftssicherung-Berlin-e-V-fuer-Menschen-mit-geistiger-Behinderung--14029557-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"esetzlichen Betreuer*innen, Arbeitsstätten Grundpflegerische Tätigkeiten Profil abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra | • Grundpflegerische Tätigkeiten • abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/zukunftssicherung-berlin-e-v-f%c3%bcr-menschen-mit-geistiger-behinderung-428427/jobs,job-3,2
Qualified Nursing Professional - Supported Living,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Zukunftssicherung Berlin e. V. für Menschen mit geistiger Behinderung,Long-term Care & Social Services,2026-06-17,Part-time,,"Provides nursing care and support to residents with intellectual disabilities in a special residential facility, including daily living assistance, care documentation, individual support plans, and basic nursing tasks. Cooperates with relatives, legal guardians, and external parties.","Completed qualification as Heilerziehungspfleger, Erzieher, elderly care nurse, registered nurse, or equivalent; team-oriented; German language level B2 or above.","Salary according to AVR-DWBO, 13th month salary bonus, 31 days annual leave, job ticket, Urban Sports or Wellpass membership subsidy, company pension and capital-forming benefits, company health insurance.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-besondere-Wohnform-Ahornallee-Berlin-Zukunftssicherung-Berlin-e-V-fuer-Menschen-mit-geistiger-Behinderung--14029512-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"esetzlichen Betreuer*innen, Arbeitsstätten Grundpflegerische Tätigkeiten Profil abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra | • Grundpflegerische Tätigkeiten • abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/zukunftssicherung-berlin-e-v-f%c3%bcr-menschen-mit-geistiger-behinderung-428427/jobs,job-4,3
Early Childhood and Social Educator - Supported Living,Personal Care Workers in Health Services NEC (5329),5329,532,53,Personal Care Workers in Health Services Not Elsewhere Classified,Berlin,Zukunftssicherung Berlin e. V. für Menschen mit geistiger Behinderung,Long-term Care & Social Services,2026-06-17,Part-time,,"Supports adults with intellectual disabilities in a residential care setting with daily living, leisure activities, and basic personal care, while developing individual pedagogical concepts and support plans. Cooperates with relatives, legal guardians, and workplaces.","Completed qualification as Heilerziehungspfleger, Erzieher, elderly care nurse, registered nurse, or equivalent; team-oriented; German language level B2 or above.","Salary according to AVR-DWBO, 13th month salary bonus, 31 days annual leave, company pension and capital-forming benefits, company health insurance covering co-payments for aids, medications and massages.",On-site,https://www.stepstone.de/stellenangebote--Erzieher-m-w-d-besondere-Wohnform-Ahornallee-Berlin-Zukunftssicherung-Berlin-e-V-fuer-Menschen-mit-geistiger-Behinderung--14029564-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"esetzlichen Betreuer*innen, Arbeitsstätten Grundpflegerische Tätigkeiten Profil abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra | • Grundpflegerische Tätigkeiten • abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/zukunftssicherung-berlin-e-v-f%c3%bcr-menschen-mit-geistiger-behinderung-428427/jobs,job-5,4
Registered Nurse - Supported Living,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Zukunftssicherung Berlin e. V. für Menschen mit geistiger Behinderung,Long-term Care & Social Services,2026-06-17,Part-time,,"Provides nursing care and support to residents with intellectual disabilities in a residential care facility, including daily living assistance, care and development planning, documentation, and basic nursing tasks. Collaborates with relatives, legal guardians, and external stakeholders.","Completed qualification as Heilerziehungspfleger, Erzieher, elderly care nurse, registered nurse, or equivalent; team-oriented; German language level B2 or above.","Salary according to AVR-DWBO, 13th month salary bonus, 31 days annual leave, company pension and capital-forming benefits, company health insurance covering co-payments for aids, medications and massages.",On-site,https://www.stepstone.de/stellenangebote--Gesundheits-oder-Krankenpfleger-m-w-d-besondere-Wohnform-Ahornallee-Berlin-Zukunftssicherung-Berlin-e-V-fuer-Menschen-mit-geistiger-Behinderung--14029546-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"esetzlichen Betreuer*innen, Arbeitsstätten Grundpflegerische Tätigkeiten Profil abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra | • Grundpflegerische Tätigkeiten • abgeschlossene Ausbildung als Heilerziehungspfleger:in, Erzieher:in, Altenpfleger:in, Gesundheits-und Kra",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/zukunftssicherung-berlin-e-v-f%c3%bcr-menschen-mit-geistiger-behinderung-428427/jobs,job-6,5
Nursing Services Manager,Health Services Managers (1342),1342,134,13,Health Service Managers,Brandenburg,Hoffbauer Stiftung,Long-term Care & Social Services,2026-06-17,Full-time,,"Leads and manages nursing staff in a residential care setting, coordinating care planning, scheduling, and quality management processes while contributing to organisational and personnel development. Advocates for high-quality, respectful, and individualised care.",Qualified elderly care nurse or registered nurse with additional training or degree in nursing management or care services leadership; empathy and strong communication skills.,"Permanent employment contract, responsible and meaningful role within a competent and motivated team, above-average salary according to AVR DWBO with annual bonus, company pension, and additional individual allowances.",On-site,https://www.stepstone.de/stellenangebote--Pflegedienstleitung-m-w-d-Potsdam-Hoffbauer-Stiftung--14098380-inline.html,HEALTHCARE,Potsdam,2026-06-19,,,,,"e auch Dienstübergaben, Fallbesprechungen und Pflegevisiten Ihr Profil Sie sind examinierte/-r Altenpfleger/-in oder Gesundheits- und Krankenpfleger/-in und verfügen über | gaben, wie auch Dienstübergaben, Fallbesprechungen und Pflegevisiten • Sie sind examinierte/-r Altenpfleger/-in oder Gesundheits- und Krankenpfleger/-in und verfügen über",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/hoffbauer-stiftung-287718/jobs,job-7,6
Dental Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Gemeinschaftspraxis Haensch Inh. Daniel Haensch,Outpatient & Ambulatory Care,2026-06-17,Full-time,,"Assists dentists chairside during treatments, manages patient reception and scheduling, prepares treatment rooms and instruments, and handles documentation and billing in a dental practice. Supports overall practice organisation.",Completed qualification as a dental assistant (ZFA); team-oriented and reliable.,"Opportunity to apply knowledge and expertise, quality-oriented and structured working environment, large team with career development opportunities, support for further training, modern IT systems, overtime regulation, Christmas bonus, holiday allowance, health benefits.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-ZFA-m-w-d-in-Berlin-Pankow-Berlin-Gemeinschaftspraxis-Haensch-Inh-Daniel-Haensch--14161249-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Mental Health & Rehabilitation,,job-8,7
Early Childhood Educator - Floating Team,Other/Non-Healthcare (9999),2342,234,23,Kindergarten Teachers,Berlin,Kinder und Jugend der Volkssolidarität Berlin gGmbH,Long-term Care & Social Services,2026-06-17,Full-time,,"Provides flexible support across nine childcare teams, caring for and promoting the development of children from approximately 8 weeks of age to school entry. Plans and implements individual educational activities tailored to children's needs and developmental stages.","State-recognised qualification as an Erzieher or equivalent (e.g. childhood pedagogy, social work); enthusiasm for varied placements; flexibility; empathy and respectful approach.","Collectively agreed salary under the Paritätische Tarifgemeinschaft tariff, monthly gross salary between €3,398.53 and €3,861.96 depending on experience level (full-time 39 hours/week).",On-site,https://www.stepstone.de/stellenangebote--Erzieher-m-w-d-Springerteam-Berlin-Kinder-und-Jugend-der-Volkssolidaritaet-Berlin-gGmbH--13915937-inline.html,HEALTHCARE,Berlin,2026-06-19,,Anerkennung,,,Ihr Profil eine staatliche Anerkennung als Erzieher (m/w/d) oder vergleichbare Qualifikation (z | es Kindes • eine staatliche Anerkennung als Erzieher (m/w/d) oder vergleichbare Qualifikation (z,,Other Healthcare Providers,https://www.stepstone.de/cmp/de/kinder-und-jugend-der-volkssolidarit%c3%a4t-berlin-ggmbh-125895/jobs,job-9,8
Dental Practice Administrative Specialist,Other/Non-Healthcare (9999),4122,412,41,Receptionists and Information Clerks,Berlin,MHC Medical Health Care GmbH,Outpatient & Ambulatory Care,2026-06-17,Part-time,,"Manages patient reception, appointment scheduling, and administrative operations in a dental practice, including billing (ZE/KBR/PA/Kons), insurance plan preparation, and communication with the KZV and dental laboratories. Uses Dampfsoft and Doclib practice management systems.","Completed qualification as a dental assistant (ZFA); initial experience in dental practice administration (ZMV); attention to detail, team skills, flexibility; good PC and Office skills; fluent German.","Attractive salary and permanent position, flat hierarchies and short communication channels, modern practice environment and friendly team, central location with good transport links, company pension scheme.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Verwaltungsangestellte-ZMV-m-w-d-Berlin-Schoeneberg-MHC-Medical-Health-Care-GmbH--13664393-inline.html,HEALTHCARE,Berlin-Schöneberg,2026-06-19,,,,,der KZV und Laboren Umsetzung der KZV-Rundschreiben Was Sie mitbringen sollten: Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (m/w/d) Erste Berufserfahrung als ZMV So | • Umsetzung der KZV-Rundschreiben • Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (m/w/d),,Medical & Dental Practices,https://www.stepstone.de/cmp/de/mhc-medical-health-care-gmbh-420842/jobs,job-10,9
